iteration,loss,time_step,gt.time_step
-1,,,0.00019999999494757503
0,,0.0003000000142492354,
1,3.153263605781831e-07,0.0002500000991858542,
2,6.31361331215885e-07,0.00020602039876393974,
3,9.403446199485188e-08,0.00016318506095558405,
4,2.0399907043611165e-06,0.00018249066488351673,
5,5.342307645150868e-07,0.00020935936481691897,
6,3.023188241968455e-07,0.00022032005654182285,
7,1.5220698514895048e-06,0.00020808381668757647,
8,3.0375022674888896e-07,0.00019044437794946134,
9,4.657305794353306e-07,0.0001858254399849102,
10,1.0544107453824836e-06,0.00019586976850405335,
11,1.416398873743674e-07,0.00020840262004639953,
12,3.849455936233426e-07,0.00021264074894133955,
13,7.29165833490697e-07,0.00020787066023331136,
14,3.084571744693676e-07,0.00019869158859364688,
15,6.547201536477587e-08,0.00019118664204142988,
16,3.537361692451668e-07,0.0001901341020129621,
17,4.283955377104576e-07,0.00019523885566741228,
18,1.5234083150517108e-07,0.00020295751164667308,
19,1.0637994307671761e-07,0.0002073537471005693,
20,4.6381634888348344e-07,0.00020261769532226026,
